frame_no,quadrant,color,box
416,4,raw_umber,"[1034, 191, 1170, 327]"
417,3,burnt_sienna,"[1399, 826, 1502, 929]"
417,1,dim_gray,"[1053, 740, 1183, 872]"
417,4,raw_umber,"[1033, 192, 1169, 328]"
418,3,burnt_sienna,"[1402, 816, 1505, 918]"
418,1,burnt_sienna,"[1052, 739, 1181, 871]"
418,4,raw_umber,"[1033, 192, 1170, 328]"
419,3,burnt_sienna,"[1406, 810, 1505, 909]"
419,1,dim_gray,"[1052, 738, 1181, 870]"
419,4,raw_umber,"[1034, 192, 1169, 327]"
420,3,burnt_sienna,"[1409, 802, 1509, 901]"
420,4,raw_umber,"[1033, 193, 1169, 329]"
421,3,burnt_sienna,"[1413, 792, 1514, 892]"
421,4,raw_umber,"[1033, 191, 1169, 327]"
422,3,burnt_sienna,"[1414, 784, 1517, 883]"
422,4,raw_umber,"[1032, 191, 1169, 328]"
423,3,burnt_sienna,"[1419, 775, 1519, 874]"
423,4,raw_umber,"[1033, 191, 1170, 327]"
424,3,burnt_sienna,"[1424, 768, 1523, 864]"
424,4,raw_umber,"[1034, 191, 1169, 328]"
425,3,burnt_sienna,"[1425, 759, 1528, 856]"
425,4,raw_umber,"[1033, 191, 1170, 328]"
426,3,burnt_sienna,"[1426, 754, 1532, 850]"
426,1,burnt_sienna,"[1051, 737, 1181, 868]"
426,4,raw_umber,"[1034, 191, 1169, 327]"
427,3,burnt_sienna,"[1429, 749, 1534, 845]"
427,1,burnt_sienna,"[1052, 737, 1181, 869]"
